report_date,load_time,load_type,load_weight,dropoff_site
2021-01-01,2021-01-01 12:00:00.000000 UTC,SWEEPING,,ONION CREEK
2021-01-01,2021-01-01 12:00:00.000000 UTC,SWEEPING,,ONION CREEK
2021-01-01,2021-01-01 12:00:00.000000 UTC,SWEEPING,,ONION CREEK
2021-01-01,2021-01-01 12:00:00.000000 UTC,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02 09:24:00.000000 UTC,TIRES,1640.0,MRF
2021-01-02,2021-01-02 11:47:00.000000 UTC,TIRES,940.0,MRF
2021-01-02,2021-01-02 12:00:00.000000 UTC,RECYCLING - SINGLE STREAM,320.0,TDS - MRF
2021-01-02,2021-01-02 09:02:00.000000 UTC,RECYCLING - SINGLE STREAM,520.0,TDS - MRF
2021-01-02,2021-01-02 12:00:00.000000 UTC,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02 12:00:00.000000 UTC,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02 12:00:00.000000 UTC,SWEEPING,,ONION CREEK
2021-01-02,2021-01-02 05:44:00.000000 UTC,YARD TRIMMING,17660.0,HORNSBY BEND
2021-01-02,2021-01-02 12:04:00.000000 UTC,YARD TRIMMING,18220.0,HORNSBY BEND
2021-01-02,2021-01-02 05:45:00.000000 UTC,YARD TRIMMING,7400.0,HORNSBY BEND
2021-01-02,2021-01-02 02:05:00.000000 UTC,YARD TRIMMING,17880.0,HORNSBY BEND
2021-01-02,2021-01-02 01:02:00.000000 UTC,YARD TRIMMING,17660.0,HORNSBY BEND
2021-01-02,2021-01-02 02:16:00.000000 UTC,BULK,12480.0,TDS LANDFILL
2021-01-02,2021-01-02 12:25:00.000000 UTC,BULK,10200.0,TDS LANDFILL
2021-01-02,2021-01-02 02:13:00.000000 UTC,BULK,5440.0,TDS LANDFILL
2021-01-02,2021-01-02 04:27:00.000000 UTC,DEAD ANIMAL,140.0,TDS LANDFILL
2021-01-02,2021-01-02 02:44:00.000000 UTC,GARBAGE COLLECTIONS,24580.0,TDS LANDFILL
2021-01-02,2021-01-02 12:00:00.000000 UTC,GARBAGE COLLECTIONS,13020.0,TDS LANDFILL
2021-01-02,2021-01-02 01:34:00.000000 UTC,GARBAGE COLLECTIONS,17340.0,TDS LANDFILL
2021-01-02,2021-01-02 01:19:00.000000 UTC,GARBAGE COLLECTIONS,19300.0,TDS LANDFILL
2021-01-02,2021-01-02 10:24:00.000000 UTC,GARBAGE COLLECTIONS,22500.0,TDS LANDFILL
2021-01-02,2021-01-02 12:44:00.000000 UTC,GARBAGE COLLECTIONS,15840.0,TDS LANDFILL
2021-01-02,2021-01-02 12:03:00.000000 UTC,GARBAGE COLLECTIONS,24560.0,TDS LANDFILL
2021-01-02,2021-01-02 12:40:00.000000 UTC,GARBAGE COLLECTIONS,17580.0,TDS LANDFILL
2021-01-02,2021-01-02 01:02:00.000000 UTC,GARBAGE COLLECTIONS,8420.0,TDS LANDFILL
2021-01-02,2021-01-02 11:13:00.000000 UTC,GARBAGE COLLECTIONS,12380.0,TDS LANDFILL
2021-01-02,2021-01-02 12:20:00.000000 UTC,GARBAGE COLLECTIONS,8400.0,TDS LANDFILL
2021-01-02,2021-01-02 12:40:00.000000 UTC,GARBAGE COLLECTIONS,19660.0,TDS LANDFILL
2021-01-02,2021-01-02 12:00:00.000000 UTC,GARBAGE COLLECTIONS,11940.0,TDS LANDFILL
2021-01-02,2021-01-02 12:00:00.000000 UTC,GARBAGE COLLECTIONS,12780.0,TDS LANDFILL
2021-01-02,2021-01-02 01:05:00.000000 UTC,GARBAGE COLLECTIONS,9860.0,TDS LANDFILL
2021-01-02,2021-01-02 02:00:00.000000 UTC,GARBAGE COLLECTIONS,10580.0,TDS LANDFILL
2021-01-02,2021-01-02 12:55:00.000000 UTC,GARBAGE COLLECTIONS,21300.0,TDS LANDFILL
2021-01-02,2021-01-02 12:56:00.000000 UTC,GARBAGE COLLECTIONS,17160.0,TDS LANDFILL
2021-01-02,2021-01-02 01:42:00.000000 UTC,GARBAGE COLLECTIONS,15240.0,TDS LANDFILL
2021-01-02,2021-01-02 08:47:00.000000 UTC,MIXED LITTER,4540.0,TDS LANDFILL
2021-01-02,2021-01-02 11:34:00.000000 UTC,MIXED LITTER,6620.0,TDS LANDFILL
2021-01-02,2021-01-02 02:24:00.000000 UTC,GARBAGE COLLECTIONS,20260.0,TDS LANDFILL
2021-01-02,2021-01-02 01:18:00.000000 UTC,GARBAGE COLLECTIONS,21440.0,TDS LANDFILL
2021-01-02,2021-01-04 08:08:00.000000 UTC,GARBAGE COLLECTIONS,25340.0,TDS LANDFILL
2021-01-02,2021-01-02 02:45:00.000000 UTC,GARBAGE COLLECTIONS,17640.0,TDS LANDFILL
2021-01-02,2021-01-02 08:40:00.000000 UTC,GARBAGE COLLECTIONS,22640.0,TDS LANDFILL
